category;produto;unit;price;quantity;total
Desidratados;Arándanos Rojos sin Açucar Biológico;2,00;100g;;;
Desidratados;Banana chips Desidratada Biológico;0,87;100g;;;
Desidratados;Côco Ralado Biológico;0,81;100g;;;
Desidratados;Côco as Lascas Biológico;1,30;100g;;;
Desidratados;Damasco Seco Biológico;1,34;100g;;;
Desidratados;Figos Secos Portugueses;1,35;100g;;;
Desidratados;Manga Rodelas Biológico;2,30;100g;;;
Desidratados;Maçã aos cubos com pele Biológico;1,68;100g;;;
Desidratados;Tomate Seco Biológico;1,48;100g;;;
Desidratados;Tâmara Medjool Biológico;1,80;100g;;;
Desidratados;Tâmara de Medjoul Premium Biológico;3,07;100g;;;
Desidratados;Uvas Passas Sultana Biológico;0,70;100g;;;
Congelados;Bolinhas de Grão e Abóbora;7,49;uni;;;
Congelados;Hamburguer Beyong Burguer 10uni;30,99;uni;;;
Congelados;Hamburguer Pork Linda McCartney 2uni;3,98;uni;;;
Congelados;Hamburguer Sabor a Frango;6,24;uni;;;
Congelados;Hamburguer Tradicional Vegan;6,24;uni;;;
Congelados;Hamburguer Veggie Linda McCartney 2uni;3,98;uni;;;
Congelados;Hamburguer de Quinoa & Proteina de Arroz Integral s/glúten;6,67;uni;;;
Congelados;Nuggets Sabor a Frango;6,54;uni;;;
Congelados;Nuggets de Chia com Próteina de Arroz Integral sem glúten;6,53;uni;;;
Congelados;Panado Schnitzel;5,85;uni;;;
Congelados;Pizza Mediterrânea na Lenha;6,83;uni;;;
Congelados;Preparado Desfiado Frango Linda McCartney;5,49;uni;;;
Congelados;Salsichas Hot Dog;6,85;uni;;;
Congelados;Tempeh Burguers de Soja e Nozes;8,34;uni;;;
Congelados;Tempeh Tradicional de Soja;4,09;uni;;;
Congelados;Tempeh de Grão de Bico e Sementes de Girassol;5,05;uni;;;
Congelados;Tempeh de Tremoços e Quinoa Vermelha;6,15;uni;;;
Cremes, Pastas e Molhos;Creme de Amêndoa Biológico;4,99;uni;;;
Cremes, Pastas e Molhos;Creme de Nozes Biológico;4,99;uni;;;
Cremes, Pastas e Molhos;Creme de Sesámo (Tahini) - Biológico;8,99;uni;;;
Cremes, Pastas e Molhos;Ketchup Heinz;1,99;uni;;;
Cremes, Pastas e Molhos;Maionese para Saladas;3,15;uni;;;
Cremes, Pastas e Molhos;Manteiga de 100% Amendoim Biológico;3,92;uni;;;
Cremes, Pastas e Molhos;Manteiga de Amendoim Canela e Maca Biológico;4,94;uni;;;
Cremes, Pastas e Molhos;Manteiga de Amendoim Golden Elixir Biológico;4,94;uni;;;
Cremes, Pastas e Molhos;Manteiga de Amendoim Mocha Kick Biológico;4,94;uni;;;
Cremes, Pastas e Molhos;Molho Piri-piri;0,98;uni;;;
Cremes, Pastas e Molhos;Molho Soja Kikkoman;3,99;uni;;;
Cremes, Pastas e Molhos;Molho Soja Kikkoman Menos Sal;4,30;uni;;;
Cremes, Pastas e Molhos;Mostarda de Dijón Biológico;4,00;uni;;;
Cremes, Pastas e Molhos;Pasta Azeitona Preta Biológico;2,82;uni;;;
Cremes, Pastas e Molhos;Pasta Azeitona Verde Biológico;2,82;uni;;;
Cremes, Pastas e Molhos;Paté de Noz e Pesto Biológico;2,77;uni;;;
Cremes, Pastas e Molhos;Paté de Érvas Finas Biológico;2,60;uni;;;
Cremes, Pastas e Molhos;Savora Mostarda Frasco Pequeno;1,99;uni;;;
Cremes, Pastas e Molhos;Tamari Biológico;7,22;uni;;;
Farinhas;Amido de Mandioca Biológico;0,62;100g;;;
Farinhas;Amido de Milho Biológico;0,73;100g;;;
Farinhas;Farinha Integral de Espelta Biológico;0,37;100g;;;
Farinhas;Farinha de Alfarroba Biológico;0,69;100g;;;
Farinhas;Farinha de Amêndoa s/pele Biológico;2,56;100g;;;
Farinhas;Farinha de Arroz Biológico;4,04;undefined;;;
Farinhas;Farinha de Aveia Biológico;2,25;undefined;;;
Farinhas;Farinha de Centeio Semi Integral Biológico;2,60;undefined;;;
Farinhas;Farinha de Cevada Biológico;3,77;undefined;;;
Farinhas;Farinha de Côco Biológico;0,58;100g;;;
Farinhas;Farinha de Espelta Branca Biológico;1,86;undefined;;;
Farinhas;Farinha de Grão de Bico Biológico;4,84;Kg;;;
Farinhas;Farinha de Grão de Bico Biológico;0,40;100g;;;
Farinhas;Farinha de Kamut Biológico;0,69;100g;;;
Farinhas;Farinha de Linhaça Dourada Biológico;0,65;100g;;;
Farinhas;Farinha de Mandioca Biológico;0,60;100g;;;
Farinhas;Farinha de Milho Amarelo Biológico;0,29;100g;;;
Farinhas;Farinha de Quinoa Biológico;0,70;100g;;;
Farinhas;Farinha de Trigo BIO T65 1kg Biológico;0,28;100g;;;
Farinhas;Farinha de Trigo BIO T80 1kg Biológico;0,28;100g;;;
Farinhas;Farinha de Trigo Sarraceno Biológico;0,38;100g;;;
Farinhas;Fecúla de Batata Biológico;0,64;100g;;;
Farinhas;Fermento Fermi-Pan;1,69;uni;;;
Farinhas;Fermento Royal Lata;1,70;uni;;;
Especiarias, Ervas e Condimentos;Alho moído Biológico;0,86;40g;;;
Especiarias, Ervas e Condimentos;Anis Estrela Biológico;1,28;40g;;;
Especiarias, Ervas e Condimentos;Bagas de Goji Biológico;1,49;40g;;;
Especiarias, Ervas e Condimentos;Canela em Pau Ceilão Biológico;3,99;40g;;;
Especiarias, Ervas e Condimentos;Canela em Pó Biológico;1,84;40g;;;
Especiarias, Ervas e Condimentos;Coentros em Pó Biológico;0,83;40g;;;
Especiarias, Ervas e Condimentos;Coentros em Semente Biológico;0,79;40g;;;
Especiarias, Ervas e Condimentos;Cominhos em Pó Biológico;1,44;40g;;;
Especiarias, Ervas e Condimentos;Cravinho;2,88;40g;;;
Especiarias, Ervas e Condimentos;Curry em Pó Biológico;2,49;40g;;;
Especiarias, Ervas e Condimentos;Cúrcuma em Pó Biológico;0,75;40g;;;
Especiarias, Ervas e Condimentos;Ervas de Provence Biológico;1,49;40g;;;
Especiarias, Ervas e Condimentos;Folha de Alecrim Biológico;1,31;40g;;;
Especiarias, Ervas e Condimentos;Folha de Manjericão Biológico;2,37;40g;;;
Especiarias, Ervas e Condimentos;Folha de Orégãos Biológico;2,99;40g;;;
Especiarias, Ervas e Condimentos;Folha de Salva Biológico;1,78;40g;;;
Especiarias, Ervas e Condimentos;Folha de Tomilho-limão Biológico;2,29;40g;;;
Especiarias, Ervas e Condimentos;Gengibre em Pó Biológico;0,91;40g;;;
Especiarias, Ervas e Condimentos;Mostarda em Grão Biológico;1,37;40g;;;
Especiarias, Ervas e Condimentos;Mostarda em Pó Biológico;0,86;40g;;;
Especiarias, Ervas e Condimentos;Noz Moscada;3,45;40g;;;
Especiarias, Ervas e Condimentos;Noz Moscada em Pó Biológico;3,45;40g;;;
Especiarias, Ervas e Condimentos;Paprika Defumada em Pó Biológico;1,59;40g;;;
Especiarias, Ervas e Condimentos;Pimenta Cayena;1,73;40g;;;
Especiarias, Ervas e Condimentos;Pimenta Preta Moída Biológico;1,91;40g;;;
Especiarias, Ervas e Condimentos;Pimenta Preta em Grão Biológico;1,39;40g;;;
Especiarias, Ervas e Condimentos;Pimenta Szechuan;7,65;40g;;;
Especiarias, Ervas e Condimentos;Pimentão Doce Biológico;1,40;40g;;;
Especiarias, Ervas e Condimentos;Sal Marinho Biológico;1,70;uni;;;
Especiarias, Ervas e Condimentos;Stevia em Folha Biológico;1,28;40g;;;
Especiarias, Ervas e Condimentos;Sumac;3,21;40g;;;
Especiarias, Ervas e Condimentos;Tomilho Biológico;1,59;40g;;;
Frutos Secos;Amendoim Torrado Jumbo;0,60;100g;;;
Frutos Secos;Amêndoa Pelada (c/pele) Biológico;2,45;100g;;;
Frutos Secos;Amêndoa Portuguesa;1,57;100g;;;
Frutos Secos;Amêndoa Sem Pele Tostada Biológico;0,00;100g;;;
Frutos Secos;Amêndoa sem pele Biológico;2,97;100g;;;
Frutos Secos;Amêndoim (Cacahuete) sem pele Biológico;0,81;100g;;;
Frutos Secos;Avelã crua com pele Biológico;1,80;100g;;;
Frutos Secos;Caju (Anacardos) Cru Biológico;1,87;100g;;;
Frutos Secos;Figos Pingo de Mel;0,00;100g;;;
Frutos Secos;Macadamia Biológico;4,32;100g;;;
Frutos Secos;Macadamia Premium;4,13;100g;;;
Frutos Secos;Noz Pecan Biológico;3,07;100g;;;
Frutos Secos;Noz do Brasil Descascada Biológico;2,16;100g;;;
Frutos Secos;Nozes (metades) Biológico;1,75;100g;;;
Frutos Secos;Nozes Inteiras;0,54;100g;;;
Frutos Secos;Pinhão Biológico;4,89;100g;;;
Frutos Secos;Pinhão do Sado Português;9,28;100g;;;
Frutos Secos;Pistachio sem casca Cru Biológico;0,43;100g;;;
Frutos Secos;Pistacho com casca e torrado c/sal Biológico;0,31;100g;;;
Higiene Pessoal;Cana Bambu Viagem Adulto - Caixa Escova;8,99;uni;;;
Higiene Pessoal;Cana Bambu Viagem Criança - Caixa Escova;8,49;uni;;;
Higiene Pessoal;Cotonetes de Bambú (100uni);1,99;uni;;;
Higiene Pessoal;Escova Dentes Carvão Ativado;4,49;uni;;;
Higiene Pessoal;Escova Dentes Kids Soft Green;4,2;uni;;;
Higiene Pessoal;Escova de Dentes Green Tailors Adult Medium Preto;4,2;uni;;;
Higiene Pessoal;Escova de Dentes Green Tailors Adult Medium Verde;4,2;uni;;;
Higiene Pessoal;Escovas Dentes Babu Adulto Extra Suave;3,99;uni;;;
Higiene Pessoal;Escovas Dentes Babu Adulto Média;3,99;uni;;;
Higiene Pessoal;Escovas Dentes Babu Adulto Suave;3,99;uni;;;
Higiene Pessoal;Escovas Dentes Criança;3,49;uni;;;
Higiene Pessoal;Esponja Konjac - Carvão Activado;5,99;uni;;;
Higiene Pessoal;Esponja Konjac - Pure;5,99;uni;;;
Higiene Pessoal;Esponja de Luffa para Banho;3,9;uni;;;
Higiene Pessoal;Fio Dental com carvão activado;4,49;uni;;;
Higiene Pessoal;Make-up Pads Reusable 10xuni;10,9;uni;;;
Higiene Pessoal;Nuud;13,95;uni;;;
Higiene Pessoal;Pasta dos Dentes Bam&Boo - 75ml;8,9;uni;;;
Higiene Pessoal;Pensinhos diarios - x21uni 95% Biodegradável;5,86;uni;;;
Higiene Pessoal;Pensos Dia C/abas x9uni - 95% Biodegradável;5,86;uni;;;
Higiene Pessoal;Pensos Noite c/abas - x9uni 95% Biodegradável;5,86;uni;;;
Higiene Pessoal;Tampões com/Aplicador - Caixa Mix - Biodegradável;5,86;uni;;;
Higiene Pessoal;Tampões sem/Aplicador - Caixa Mix - Biodegradável;5,86;uni;;;
Higiene Pessoal;Toothpaste Tabs Mentol x100uni;8,9;uni;;;
Higiene Pessoal;Toothpaste Tabs x80uni;7,9;uni;;;
Leguminosas;Feijão Azuki Biológico;0,40;100g;;;
Leguminosas;Feijão Catarino Biológico;0,30;100g;;;
Leguminosas;Feijão Frade Biológico;0,58;100g;;;
Leguminosas;Feijão Mungo Biológico;0,42;100g;;;
Leguminosas;Feijão Preto Biológico;0,37;100g;;;
Leguminosas;Feijão Seco Branco Biológico;0,39;100g;;;
Leguminosas;Feijão Seco Manteiga Biológico;0,39;100g;;;
Leguminosas;Feijão Vermelho Biológico;0,37;100g;;;
Leguminosas;Feijão de Soja Biológico;0,29;100g;;;
Leguminosas;Grão de Bico PT Biológico;0,39;100g;;;
Leguminosas;Lentilha Castanha Biológico;0,36;100g;;;
Leguminosas;Lentilha Preta Beluga Biológico;0,63;100g;;;
Leguminosas;Lentilha Verde Biológico;0,31;100g;;;
Leguminosas;Lentilha Vermelha Biológico;0,39;100g;;;
Granola, Tufados, Bolachas;Areias de Limão Biológico;3,23;100g;;;
Granola, Tufados, Bolachas;Barrinha de Muesli e cõco Biológico;1,04;undefined;;;
Granola, Tufados, Bolachas;Bolacha Integral Biológico;1,66;uni;;;
Granola, Tufados, Bolachas;Bolacha Integral Cacao Biológica;1,91;uni;;;
Granola, Tufados, Bolachas;Bolacha Integral Floco de Aveia;1,72;uni;;;
Granola, Tufados, Bolachas;Bolacha para Viajar Biológico;3,23;100g;;;
Granola, Tufados, Bolachas;Bolachas Gullon Choc Chip Dieta;1,99;uni;;;
Granola, Tufados, Bolachas;Bolachas Gullon Digestive Dieta;2,43;uni;;;
Granola, Tufados, Bolachas;Bolachas Oreo Tubo 154g;1,19;uni;;;
Granola, Tufados, Bolachas;Bolachas Soletes Biológico;2,29;uni;;;
Granola, Tufados, Bolachas;Bolachas Vitalday Fruta;1,49;uni;;;
Granola, Tufados, Bolachas;Bolachas Vitalday Original;1,49;uni;;;
Granola, Tufados, Bolachas;Cookies de Aveia, Canela e Gengibre Biológico;2,00;100g;;;
Granola, Tufados, Bolachas;Flocos de Aveia grandes Biológico;0,29;100g;;;
Granola, Tufados, Bolachas;Flocos de Aveia pequenos finos Biológico;0,28;100g;;;
Granola, Tufados, Bolachas;Flocos de Espelta Biológico;0,31;100g;;;
Granola, Tufados, Bolachas;Flocos de Quinoa Biológico;0,97;100g;;;
Granola, Tufados, Bolachas;Galhetas de Arroz Biológico;1,43;uni;;;
Granola, Tufados, Bolachas;Galhetas de Arroz com Quinos e Tamari Biológico;1,60;uni;;;
Granola, Tufados, Bolachas;Galhetas de Arroz sem Sal Biológico;1,43;uni;;;
Granola, Tufados, Bolachas;Granola de Amêndoas, Canela e Gengibre Biológico;1,65;100g;;;
Granola, Tufados, Bolachas;Granola de Avelãs e Cacau Biológico;1,65;100g;;;
Granola, Tufados, Bolachas;Granola de manteiga de Amendoim Biológico;1,65;100g;;;
Granola, Tufados, Bolachas;Maltitas de Espelta Biológico;4,08;uni;;;
Granola, Tufados, Bolachas;Manteiga de Cacau Biológico;2,15;100g;;;
Granola, Tufados, Bolachas;Muesli Biológico (flocos de trigo, cevada, milho e aveia, passas sultanas, damascos, pedaços de avelã e trigo);0,84;100g;;;
Granola, Tufados, Bolachas;Quinoa Real Tufada Biológico;1,79;100g;;;
Refrigerados;Alheira Bem Bom;2,60;uni;;;
Refrigerados;Iogurte de Soja Yofu Mirtilo 4x125gr;3,17;uni;;;
Refrigerados;Iogurte de Soja Yofu Morango 4x125gr;3,17;uni;;;
Refrigerados;Iogurte de Soja Yofu Natural 4x125gr;3,17;uni;;;
Refrigerados;Iogurte de Soja Yofu Pêssego/Exotic 4x125gr;3,17;uni;;;
Refrigerados;Iogurte de Soja Yofu Smooth Morango/Banana 4x125gr;3,17;uni;;;
Refrigerados;Seitan Biológico;2,69;uni;;;
Refrigerados;Tofu Exótico Biológico;1,90;uni;;;
Refrigerados;Tofu Marinho Biológico;1,75;uni;;;
Refrigerados;Tofu Natural Biológico;1,45;uni;;;
Refrigerados;Tofu Natural Biológico;2,65;uni;;;
Refrigerados;Tofu Primavera Biológico;1,90;uni;;;
Manteigas e Keijos;Keijo 7 Colinas 150g Biológico;7,72;uni;;;
Manteigas e Keijos;Keijo Cajú 100g Biológico;5,92;uni;;;
Manteigas e Keijos;Keijo Cajú com Ervas Provence 100g Biológico;6,08;uni;;;
Manteigas e Keijos;Keijo Cajú com Pimenta Preta 100g Biológico;6,08;uni;;;
Manteigas e Keijos;Keijo Cajú com Pimenta Rosa 100g Biológico;6,08;uni;;;
Manteigas e Keijos;Manteiga de Caju 100g Biológico;3,68;uni;;;
Manteigas e Keijos;Yogan Almond Parmesou Biológico;4,29;uni;;;
Manteigas e Keijos;Yogan Cottage Biológico;3,79;uni;;;
Manteigas e Keijos;Yogan Meenteiga Amendoa Algas Biológico;3,25;uni;;;
Manteigas e Keijos;Yogan Meenteiga Amendoa Biológico;3,25;uni;;;
Manteigas e Keijos;Yogan Pesto Biológico;4,45;uni;;;
Manteigas e Keijos;Yogan Vegan Mozzarela Biológico;3,09;uni;;;
Manteigas e Keijos;Yogan VeganDelphia Biológico;3,59;uni;;;
Manteigas e Keijos;Yogan VeganDelphia c/cebolinho Biológico;3,59;uni;;;
Vinhos & Espirituosas;Black Pig Gin Costa Alentejana;29,12;uni;;;
Vinhos & Espirituosas;Espumante Dinamite Branco Blanc de Blancs Brut Nature;14,55;uni;;;
Vinhos & Espirituosas;Espumante Dinamite Branco de Noirs Brut Nature;20,00;uni;;;
Vinhos & Espirituosas;Gin 13;23,05;uni;;;
Vinhos & Espirituosas;Licor Amêndoa Amarguinha;9,82;uni;;;
Vinhos & Espirituosas;Rum Ilha do Pessegueiro;24,66;uni;;;
Vinhos & Espirituosas;Vinho Branco Boina Douro 2019;9,45;uni;;;
Vinhos & Espirituosas;Vinho Branco Guyot Douro 2017;17,95;uni;;;
Vinhos & Espirituosas;Vinho Branco Guyot Moscatel 2018;16,95;uni;;;
Vinhos & Espirituosas;Vinho Douro Altano Branco;5,90;uni;;;
Vinhos & Espirituosas;Vinho Douro Altano Tinto;5,58;uni;;;
Vinhos & Espirituosas;Vinho Douro Altano Tinto Biológico;7,99;uni;;;
Vinhos & Espirituosas;Vinho Porto Ferreira RUBY;5,99;uni;;;
Vinhos & Espirituosas;Vinho Porto Ferreira TAWNY;5,99;uni;;;
Vinhos & Espirituosas;Vinho Tinto Boina Douro 2018;9,45;uni;;;
Vinhos & Espirituosas;Vinho Tinto Guyot Douro 2017;24,70;uni;;;
Sacos;Kit ecológico - 2 Sacos Algodão Organico Legumes 28*35cm/20*25cm;4,13;uni;;;
Sacos;Saco de Algodão 100Saco;2,4;uni;;;
Utensilios Casa-Cozinha;Brew Cork L - Thermal;20,13;uni;;;
Utensilios Casa-Cozinha;Brew Cork M - Espresso;19,31;uni;;;
Utensilios Casa-Cozinha;Brew Cork S - Almond;18,49;uni;;;
Utensilios Casa-Cozinha;Escova Limpa Palhinhas;1,99;uni;;;
Utensilios Casa-Cozinha;Kit de 3 talheres em Bambu;5,99;uni;;;
Utensilios Casa-Cozinha;Palhinha Fairstraw PT;3,27;uni;;;
Soja, Levedura, Açucares, Superalimentos;Açaí Liofilizado em Pó Biológico;5,09;40g;;;
Soja, Levedura, Açucares, Superalimentos;Açucar Branco;0,99;uni;;;
Soja, Levedura, Açucares, Superalimentos;Açúcar Panela Integral de Cana Biológico;0,59;100g;;;
Soja, Levedura, Açucares, Superalimentos;Açúcar de côco Biológico;0,91;100g;;;
Soja, Levedura, Açucares, Superalimentos;Camu Camu em Pó Biológico;3,38;40g;;;
Soja, Levedura, Açucares, Superalimentos;Clorela em Pó Biológico;1,78;40g;;;
Soja, Levedura, Açucares, Superalimentos;Espirulina em Pó Biológico;1,04;40g;;;
Soja, Levedura, Açucares, Superalimentos;Guaraná Biológico;6,09;40g;;;
Soja, Levedura, Açucares, Superalimentos;Levedura Nutricional em Flocos Biológico;3,63;100g;;;
Soja, Levedura, Açucares, Superalimentos;Maca em Pó Biológico;0,79;40g;;;
Soja, Levedura, Açucares, Superalimentos;Proteína de Cãnhamo 50% Biológico;2,20;100g;;;
Soja, Levedura, Açucares, Superalimentos;Proteína de Ervilha 80% Biológico;2,08;100g;;;
Soja, Levedura, Açucares, Superalimentos;Psyllium Husk Biológico;2,68;100g;;;
Soja, Levedura, Açucares, Superalimentos;Soja Troceada e Tostada Biológico;0,70;100g;;;
Soja, Levedura, Açucares, Superalimentos;Soja texturizada Fina Biológico;0,91;100g;;;
Soja, Levedura, Açucares, Superalimentos;Soja texturizada Grossa Biológico;0,87;100g;;;
Soja, Levedura, Açucares, Superalimentos;Stevia em Pó Biológico;1,08;40g;;;
Soja, Levedura, Açucares, Superalimentos;Xarope de Agáve Biológico;3,57;uni;;;
Limpeza Doméstica;Detergente de Roupa em Tiras Bebé x32;17,99;uni;;;
Limpeza Doméstica;Detergente de Roupa em Tiras Roupa Fresca x32;17,99;uni;;;
Limpeza Doméstica;Detergente de Roupa em Tiras Sem Perfume x32;17,99;uni;;;
Limpeza Doméstica;Detergente p/Loiça em Barra - 180g;9,9;uni;;;
Limpeza Doméstica;Ecox Detergente Roupa Aloe-Vera;4,19;uni;;;
Limpeza Doméstica;Ecox Detergente Roupa Sabão Natural;4,19;uni;;;
Limpeza Doméstica;Esfregão de Fibra de Coco para Loiça;2,5;uni;;;
Limpeza Doméstica;Esponja de Luffa para Legumes;3,5;uni;;;
Limpeza Doméstica;Esponja de Luffa para Loiça (1uni);3,5;uni;;;
Limpeza Doméstica;Guardanapos Renova - embrulhado em Papel;1,39;uni;;;
Limpeza Doméstica;Lenços Faciais - caixa de Papel;1,29;uni;;;
Limpeza Doméstica;Papel Higiénico Renova - embrulhado em Papel;3,19;uni;;;
Limpeza Doméstica;Rolo de Cozinha - embrulhado em Papel;1,79;uni;;;
Sementes;Sementes de Abóbora Biológico;0,87;100g;;;
Sementes;Sementes de Alfafa Biológico;1,57;100g;;;
Sementes;Sementes de Chia Biológico;0,63;100g;;;
Sementes;Sementes de Chia Branca Biológico;0,68;100g;;;
Sementes;Sementes de Cânhamo Descascado Biológico;1,85;100g;;;
Sementes;Sementes de Girasol Biológico;0,32;100g;;;
Sementes;Sementes de Linhaça Castanhas Biológico;0,34;100g;;;
Sementes;Sementes de Linhaça Dourado Biológico;0,37;100g;;;
Sementes;Sementes de Papoila Biológico;1,38;100g;;;
Sementes;Sementes de Sésamo Natural Biológico;0,60;100g;;;
Sementes;Sementes de Sésamo Negro Biológico;0,76;100g;;;
